Designator,Footprint,Mid X,Mid Y,Layer,Rotation
C1,C_0603,162.3750mm,-97.9250mm,T,180.0000
C2,C_0603,168.0250mm,-97.9250mm,T,0.0000
C3,C_0603,186.8500mm,-114.9750mm,T,180.0000
C4,C_0603,186.8500mm,-113.4750mm,T,180.0000
C5,C_0603,186.8000mm,-108.4750mm,T,0.0000
C6,C_0603,186.8000mm,-106.9750mm,T,0.0000
C7,C_0603,168.4500mm,-107.0750mm,T,180.0000
C8,C_0603,155.4250mm,-103.5250mm,T,180.0000
C9,C_0603,159.7250mm,-101.8250mm,T,180.0000
C10,C_0603,152.3750mm,-108.0750mm,T,180.0000
C11,C_0603,163.4250mm,-118.1500mm,T,0.0000
C12,C_0603,129.1500mm,-91.1250mm,T,0.0000
C13,C_0603,146.9016mm,-90.9955mm,T,0.0000
C14,C_0603,164.6000mm,-91.0000mm,T,0.0000
C15,C_0603,182.2750mm,-91.0000mm,T,0.0000
C16,C_0603,152.0000mm,-115.1500mm,T,180.0000
C17,C_0603,129.1500mm,-130.3250mm,T,0.0000
C18,C_0603,146.8250mm,-130.3500mm,T,0.0000
C19,C_0603,164.4750mm,-130.3250mm,T,0.0000
C20,C_0603,182.1000mm,-130.3500mm,T,0.0000
Q1,SOT-23,117.2920mm,-91.8820mm,T,90.0000
Q2,SOT-23,135.0391mm,-91.7829mm,T,90.0000
Q3,SOT-23,152.7750mm,-91.7000mm,T,90.0000
Q4,SOT-23,170.4500mm,-91.7000mm,T,90.0000
Q5,SOT-23,117.3000mm,-129.6750mm,T,270.0000
Q6,SOT-23,135.0250mm,-129.6750mm,T,270.0000
Q7,SOT-23,152.6750mm,-129.6750mm,T,270.0000
Q8,SOT-23,170.3000mm,-129.6750mm,T,270.0000
R1,R_0603,151.9750mm,-113.6500mm,T,0.0000
R2,R_0603,165.2000mm,-97.9250mm,T,180.0000
R3,R_0603,168.3250mm,-108.5750mm,T,180.0000
R4,R_0603,128.9939mm,-92.7750mm,T,0.0000
R5,R_0603,146.7485mm,-92.6338mm,T,0.0000
R6,R_0603,164.4500mm,-92.6250mm,T,0.0000
R7,R_0603,182.1250mm,-92.6250mm,T,0.0000
R8,R_0603,159.7250mm,-103.4500mm,T,0.0000
R9,R_0603,129.0000mm,-128.7000mm,T,0.0000
R10,R_0603,146.6750mm,-128.7250mm,T,0.0000
R11,R_0603,164.3250mm,-128.7000mm,T,0.0000
R12,R_0603,181.9500mm,-128.7250mm,T,0.0000
R13,R_0603,120.1500mm,-89.1769mm,T,180.0000
R14,R_0603,137.9347mm,-89.0651mm,T,180.0000
R15,R_0603,155.6500mm,-89.0500mm,T,180.0000
R16,R_0603,173.3000mm,-89.0500mm,T,180.0000
R17,R_0603,147.1500mm,-106.7750mm,T,0.0000
R18,R_0603,147.1500mm,-108.3750mm,T,0.0000
R19,R_0603,147.1500mm,-109.9750mm,T,0.0000
R20,R_0603,147.1500mm,-111.5750mm,T,0.0000
R21,R_0603,120.1500mm,-132.2750mm,T,180.0000
R22,R_0603,137.8750mm,-132.3000mm,T,180.0000
R23,R_0603,155.5250mm,-132.2750mm,T,180.0000
R24,R_0603,173.1500mm,-132.3000mm,T,180.0000
R25,R_0603,171.3500mm,-115.4250mm,T,180.0000
R26,R_0603,171.3500mm,-113.8250mm,T,180.0000
R27,R_0603,171.3500mm,-112.2250mm,T,180.0000
R28,R_0603,171.3500mm,-110.6250mm,T,180.0000
U1,SOT-23,186.8250mm,-110.9750mm,T,180.0000
U2,LQFP-64_10x10mm_Pitch0.5mm,160.4250mm,-110.8250mm,T,270.0000
Y1,SMD-5032,165.2000mm,-101.4500mm,T,0.0000
